1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
47,233,1832,725,199,1310,668,2155,3410,1551,391,3981,5438,1305,228,497,0,0,0,0,0,0
45,216,1787,706,197,1266,636,2094,3306,1458,381,3914,5393,1288,221,485,0,0,0,0,0,0
45,209,1760,683,192,1274,654,2053,3276,1413,371,3850,5346,1264,208,476,0,0,0,0,0,0
50,190,1698,646,188,1222,629,1974,3177,1331,357,3750,5293,1251,194,462,0,0,0,0,0,0
43,177,1671,619,181,1186,582,1915,3102,1280,348,3690,5261,1234,190,461,0,0,0,0,0,0
43,180,1653,609,180,1199,574,1875,3092,1274,351,3685,5256,1226,185,460,0,0,0,0,0,0
43,179,1652,617,183,1188,578,1884,3073,1259,351,3691,5264,1235,182,466,0,0,0,0,0,0
41,172,1633,604,181,1175,594,1904,3088,1229,347,3655,5251,1226,176,464,0,0,0,0,0,0
40,169,1616,594,169,1138,563,1839,3004,1184,339,3625,5232,1217,180,449,0,0,0,0,0,0
37,152,1549,557,159,1038,435,1695,2846,1083,324,3548,5194,1192,170,440,0,0,0,0,0,0
35,145,1511,536,159,1003,391,1663,2754,1020,307,3507,5179,1175,156,436,0,0,0,0,0,0
33,132,1458,508,153,943,349,1573,2630,946,290,3457,5149,1155,156,427,0,0,0,0,0,0
31,122,1400,485,144,885,287,1481,2494,846,283,3398,5117,1134,148,421,0,0,0,0,0,0
26,105,1291,436,133,730,116,1280,2199,681,258,3287,5068,1092,128,404,0,0,0,0,0,0
23,98,1260,420,126,682,59,1205,2114,628,248,3254,5053,1082,123,398,0,0,0,0,0,0
23,98,1258,417,127,682,54,1195,2108,613,249,3251,5050,1082,119,398,0,0,0,0,0,0
24,104,1273,428,128,696,72,1228,2130,646,252,3283,5070,1092,123,402,0,0,0,0,0,0
